SentenceId,Phrase,Sentiment
59,"['claud', 'chabrol', 'camera', 'ha', 'way', 'gentli', 'sway', 'back', 'forth', 'cradl', 'charact', 'veil', 'tension', 'beneath', 'otherwis', 'tender', 'movement']",3
60,"['transform', 'one', 'lrb', 'shakespear', 'rrb', 'deepest', 'tragedi', 'smart', 'new', 'comedi']",3
61,"['screenplay', 'jame', 'eric', 'jame', 'horton', 'director', 'peter', 'fallon', 'pat', 'make', 'teeth', 'hurt']",1
62,"['arriv', 'particularli', 'dark', 'moment', 'histori', 'offer', 'flicker', 'remind', 'tie', 'bind', 'u']",3
63,"['gener', 'villain', 'lack', 'ani', 'intrigu', 'lrb', 'funni', 'accent', 'rrb', 'action', 'scene', 'poorli', 'deliv']",1
64,"['charact', 'deepli', 'thought', 'right', 'think', 'film']",3
65,"['film', 'despit', 'gratuit', 'cinemat', 'distract', 'impress', 'upon', 'still', 'good', 'fun']",3
66,"['downright', 'transpar', 'script', 'endless', 'assault', 'embarrassingli', 'ham', 'fist', 'sex', 'joke', 'reek', 'script', 'rewrit', 'design', 'garner', 'film', 'cooler', 'pg', '13', 'rate']",0
67,"['smart', 'provoc', 'drama', 'doe', 'nearli', 'imposs', 'get', 'skin', 'man', 'onli', 'know', 'evil', 'monstrou', 'lunat']",4
68,"['like', 'drive']",1
69,"['mani', 'thing', 'stoner', 'midnight', 'flick', 'sci', 'fi', 'deconstruct', 'gay', 'fantasia', 'abov', 'love', 'stori', 'sanguin', 'titl']",3
70,"['veri', 'funni', 'romant', 'comedi', 'two', 'skittish', 'new', 'york', 'middl', 'ager', 'stumbl', 'relationship', 'struggl', 'furious', 'fear', 'foibl']",3
71,"['ha', 'ambit', 'say', 'someth', 'subject', 'willing']",1
72,"['lrb', 'scherfig', 'rrb', 'ha', 'made', 'movi', 'leav', 'wonder', 'charact', 'life', 'clever', 'credit', 'roll']",3
73,"['lrb', 'rrb', 'absorb', 'documentari']",3
74,"['reek', 'rot', 'hack', 'work', 'start', 'finish']",2
75,"['play', 'like', 'seri', 'vignett', 'clip', 'film', 'still', 'look', 'common', 'line']",1
76,"['contriv', 'pastich', 'caper']",2
77,"['major', 'problem', 'windtalk', 'bulk', 'movi', 'center', 'wrong', 'charact']",1
78,"['swimfan', 'like', 'fatal', 'attract', 'eventu', 'go', 'overboard', 'looni', 'melodramat', 'denouement', 'high', 'school', 'swim', 'pool', 'substitut', 'bathtub']",2
79,"['thi', 'heartfelt', 'stori', 'n', 'veri', 'involv', 'one']",1
80,"['unsettl', 'memor', 'cinemat', 'experi', 'doe', 'predecessor', 'proud']",4
81,"['pretti', 'good', 'execut', 'stori', 'lot', 'richer', 'one', 'hollywood', 'action', 'screenwrit', 'usual', 'come']",3
82,"['phillip', 'noyc', 'hi', 'actor', 'well', 'hi', 'cinematograph', 'christoph', 'doyl', 'understand', 'delic', 'forc', 'green', 'prose', 'screen', 'version', 'quiet', 'american']",3
83,"['pianist', 'lack', 'quick', 'emot', 'connect', 'steven', 'spielberg', 'schindler', 'list']",2
84,"['invent', 'fun', 'intoxicatingli', 'sexi', 'violent', 'self', 'indulg', 'madden']",3
85,"['tell', 'fascin', 'compel', 'stori']",4
86,"['written', 'flatli', 'david', 'kendal', 'direct', 'bare', 'someth', 'mari', 'co', 'writer', 'ed', 'decter']",1
87,"['highli', 'recommend', 'view', 'courag', 'idea', 'technic', 'profici', 'great', 'act']",4
88,"['imax', 'short', 'wonder', 'big', 'screen']",4
89,"['show', 'u', 'slice', 'life', 'veri', 'differ', 'yet', 'instantli', 'recogniz']",3
90,"['amid', 'shock', 'curios', 'factor', 'film', 'corni', 'examin', 'young', 'actress', 'tri', 'find', 'way']",1
91,"['lazi', 'movi', 'avoid', 'solv', 'one', 'problem', 'tri', 'distract', 'u', 'solut', 'anoth']",2
92,"['comprehens', 'ani', 'dummi', 'guid', 'someth', 'even', 'non', 'techi', 'enjoy']",3
93,"['entertain', 'much', 'becaus', 'music', 'comic', 'antic', 'pervers', 'pleasur', 'watch', 'disney', 'scrape', 'bottom', 'cracker', 'barrel']",1
94,"['writer', 'director', 'burr', 'steer', 'emphas', 'q', 'quirki', 'mix', 'result']",3
95,"['scarc', 'worth', 'mention', 'apart', 'report', 'number', 'tumblewe', 'blow', 'empti', 'theatr', 'grace', 'compani']",0
96,"['invigor', 'surreal', 'reson', 'rainbow', 'emot']",4
97,"['analyz', 'one', 'crass', 'contriv', 'sequel', 'onli', 'fail', 'make', 'second', 'guess', 'affect', 'origin']",0
98,"['report', 'card', 'doe', 'n', 'live', 'exalt', 'taglin', 'definit', 'room', 'improv']",1
99,"['particularli', 'good', 'film', 'neither', 'monster', 'one']",2
100,"['tsai', 'may', 'plough', 'furrow', 'onc', 'often']",2
101,"['lrb', 'green', 'rrb', 'comedi', 'equival', 'saddam', 'hussein', 'readi', 'go', 'u', 'n', 'ask', 'permiss', 'preemptiv', 'strike']",1
102,"['surprisingli', 'solid', 'achiev', 'director', 'malcolm', 'lee', 'writer', 'john', 'ridley']",3
103,"['massoud', 'stori', 'epic', 'also', 'tragedi', 'record', 'tenaci', 'human', 'fighter', 'wa', 'also', 'prison', 'lrb', 'ultim', 'victim', 'rrb', 'histori']",2
104,"['chang', 'lane', 'tri']",3
105,"['shyamalan', 'stop', 'tri', 'pleas', 'hi', 'mom']",1
106,"['macabr', 'veri', 'styliz', 'swedish', 'fillm', 'modern', 'citi', 'religi', 'civic', 'virtu', 'hold', 'societi', 'place', 'tatter']",3
107,"['one', 'recent', 'memori', 'thought', 'film', 'art', 'ethic', 'cost', 'moral', 'compromis']",4
108,"['narr', 'consist', 'unimagin', 'probabl', 'onli', 'way', 'save', 'film', 'aid', 'wisecrack', 'mysteri', 'scienc', 'theater', '3000', 'guy']",2
109,"['filmmak', 'tian', 'zhuangzhuang', 'triumphantli', 'return', 'narr', 'filmmak', 'visual', 'master', 'work', 'quiet', 'power']",4
110,"['mawkish', 'self', 'parodi', 'play', 'like', 'weird', 'masterpiec', 'theater', 'sketch', 'neither', 'point', 'view', 'compel', 'reason']",1
111,"['take', 'one', 'charact', 'n', 'like', 'anoth', 'n', 'believ', 'put', 'battl', 'imposs', 'care', 'n', 'veri', 'funni']",2
112,"['appreci', 'one', 'side', 'theme', 'lawrenc', 'indulg', 'tirad', 'knock', 'enjoy', 'big', 'screen', 'postcard', 'self', 'glorifi', 'martin', 'lawrenc', 'lovefest']",1
113,"['whole', 'film', 'ha', 'thi', 'sneaki', 'feel', 'director', 'tri', 'dupe', 'viewer', 'take', 'veri', 'import', 'simpli', 'becaus', 'movi', 'ugli', 'look', 'hollywood', 'product']",0
114,"['whenev', 'threaten', 'get', 'bog', 'earnest', 'dramaturgi', 'stir', 'visual', 'sequenc', 'like', 'surg', 'swirl', 'rapid', 'leap', 'pinnacl', 'pinnacl', 'rou', 'u']",3
115,"['swing', 'film', 'make', 'seem', 'hobbi', 'attract', 'young', 'fit']",1
116,"['doe', 'entir', 'unprepar']",2
117,"['devo', 'deliv', 'perfect', 'perform', 'captur', 'innoc', 'bud', 'demon', 'within', 'wallflow']",3
118,"['300', 'year', 'russian', 'histori', 'cultur', 'compress', 'evanesc', 'seamless', 'sumptuou', 'stream', 'conscious']",4
119,"['filmmak', 'want', 'noth', 'els', 'show', 'u', 'good', 'time', 'cheap', 'b', 'movi', 'way', 'succeed']",3
120,"['mr', 'polanski', 'hi', 'element', 'alon', 'abandon', 'still', 'consol', 'hi', 'art', 'ha', 'ever', 'reveal', 'befor', 'sourc', 'hi', 'spiritu', 'surviv']",3
121,"['spider', 'man', 'better', 'ani', 'summer', 'blockbust', 'endur', 'last', 'summer', 'hope', 'set', 'tone', 'summer', 'good', 'stuff']",4
122,"['absorb', 'charact']",2
123,"['violent', 'vulgar', 'forgett', 'entertain']",1
124,"['unsettl', 'imag', 'war', 'ravag', 'land', 'prove', 'potent', 'rivet', 'unlik', 'stori', 'sarah', 'harrison']",2
125,"['wind', 'revelatori', 'narcissist', 'achiev', 'honest', 'insight', 'relationship', 'high', 'concept', 'film', 'candi', 'coat', 'pat', 'storylin', 'preciou', 'circumst', 'beauti', 'star']",3
126,"['mostli', 'martha', 'mostli', 'unsurpris', 'still', 'sweet', 'even', 'delect', 'divers']",3
127,"['thought', 'surprisingli', 'affect', 'portrait', 'screw', 'man', 'dare', 'mess', 'power', 'peopl', 'seen', 'eye', 'idealist', 'kid', 'choos', 'champion', 'hi', 'ultim', 'lose', 'caus']",4
128,"['keenli', 'observ', 'refreshingli', 'natur', 'swim', 'get', 'detail', 'right', 'promenad', 'bare', 'clad', 'bodi', 'myrtl', 'beach', 'c', 'adrenalin', 'jolt', 'sudden', 'lunch', 'rush', 'diner']",3
129,"['brilliant', 'gag', 'expens', 'paid', 'pay', 'see']",2
130,"['triumph', 'film', 'hew', 'world', 'carri', 'u', 'effortlessli', 'dark', 'light']",4
131,"['everyon', 'involv', 'seem', 'coast']",1
132,"['fascin', 'dark', 'thriller', 'keep', 'hook', 'delici', 'pulpi', 'lurid', 'fiction']",3
133,"['suspect', 'thi', 'kind', 'product', 'would', 'funnier', 'director', 'releas', 'outtak', 'theatric', 'use', 'film', 'bonu', 'featur', 'dvd']",1
134,"['hard', 'say', 'might', 'enjoy', 'thi', 'tolstoy', 'groupi']",1
135,"['daughter', 'danang', 'reveal', 'effort', 'toward', 'closur', 'onli', 'open', 'new', 'wound']",1
136,"['one', 'year', 'weirdli', 'engag', 'unpredict', 'charact', 'piec']",4
137,"['intrigu', 'downright', 'intox']",4
138,"['although', 'fairli', 'involv', 'far', 'go', 'film', 'doe', 'n', 'end', 'much', 'fresh', 'say', 'grow', 'cathol', 'realli', 'anyth']",1
139,"['movi', 'silli', 'beyond', 'comprehens', 'even', 'n', 'silli', 'would', 'still', 'beyond', 'comprehens']",0
140,"['sleek', 'arti']",3
141,"['poor', 'edit', 'bad', 'bluescreen', 'ultra', 'cheesi', 'dialogu', 'highlight', 'radic', 'action']",0
142,"['lrb', 'cho', 'face', 'rrb', 'amaz', 'slapstick', 'instrument', 'creat', 'scrapbook', 'live', 'mug', 'shot']",3
143,"['get', 'detail', 'time', 'frame', 'right', 'complet', 'miss', 'emot']",1
144,"['initi', 'strang', 'inexor', 'give', 'way', 'rote', 'sentiment', 'mystic', 'tender', 'becom', 'narr', 'expedi']",2
145,"['let', 'brush', 'human', 'psycho', 'without', 'make', 'ani', 'le', 'psycho']",3
146,"['like', 'world', 'hi', 'film', 'hartley', 'creat', 'monster', 'n', 'know', 'handl']",1
147,"['cower', 'beg', 'foot', 'scruffi', 'giannini', 'madonna', 'give', 'best', 'perform', 'sinc', 'abel', 'ferrara', 'beaten', 'pulp', 'hi', 'danger', 'game']",4
148,"['clumsi', 'key', 'moment', 'make', 'big', 'splash']",1
149,"['becaus', 'eight', 'leg', 'freak', 'partli', 'homag', 'tarantula', 'low', 'budget', 'b', 'movi', 'thriller', '1950', '60', 'movi', 'silli', 'lrb', 'sophomor', 'rrb', 'romp', 'horror', 'hellish', 'condit']",2
150,"['feel', 'like', 'veri', 'light', 'errol', 'morri', 'focus', 'eccentr', 'fail', 'ultim', 'make', 'someth', 'bigger', 'scrapbook', 'oddbal']",1
151,"['spielberg', 'realiz', 'near', 'futur', 'america', 'master']",4
152,"['scientif', 'law', 'discern', 'produc', 'would', 'well', 'heed', 'mediocr', 'movi', 'start', 'drag', 'soon', 'action', 'speed', 'explos', 'start', 'fall', 'piec']",0
153,"['one', 'cool', 'actor', 'never', 'seem', 'awar', 'hi', 'cool']",3
154,"['feel', 'like', 'work', 'artist', 'simpli', 'tire', 'fight', 'fight', 'put', 'weight', 'world', 'hi', 'shoulder', 'play', 'narr', 'form']",1
155,"['stale', 'uninspir']",1
156,"['director', 'cut', 'film', 'onli', 'love', 'song', 'movi', 'also', 'fulli', 'exampl', 'kind', 'lush', 'envelop', 'movi', 'experi', 'rhapsod']",3
157,"['ha', 'rare', 'capabl', 'sooth', 'break', 'heart', 'singl', 'stroke']",3
158,"['eerili', 'accur', 'depict', 'depress']",1
159,"['featur', 'length', 'film', 'wear', 'welcom', 'tryingli', 'titl', 'charact']",1
160,"['unclutt', 'reson', 'gem', 'relay', 'univers', 'point', 'without', 'lectur', 'confront']",3
161,"['stori', 'alon', 'could', 'forc', 'scratch', 'hole', 'head']",1
162,"['filmmak', 'post', 'camp', 'comprehens', 'made', 'old', 'time', 'b', 'movi', 'good', 'bad', 'make', 'eight', 'leg', 'freak', 'perfectli', 'entertain', 'summer', 'divers']",3
163,"['ani', 'creatur', 'featur', 'fan', 'know', 'cross', 'toxic', 'chemic', 'bunch', 'exot', 'creatur', 'get', 'lot', 'run', 'around', 'scream', 'death']",2
164,"['bet', 'make', 'thi', 'rather', 'convolut', 'journey', 'worth', 'take']",2
165,"['befor', 'take', 'sudden', 'turn', 'devolv', 'bizarr', 'sort', 'romant', 'comedi', 'steven', 'shainberg', 'adapt', 'mari', 'gaitskil', 'harrow', 'short', 'stori', 'brilliantli', 'play', 'deepli', 'unsettl', 'experi']",3
166,"['kim', 'ki', 'deok', 'seem', 'mind', 'lrb', 'emot', 'least', 'rrb', 'adolesc', 'audienc', 'demand', 'regular', 'shock', 'bout', 'bare', 'defens', 'sexual', 'violenc', 'keep', 'interest']",1
167,"['ha', 'reason', 'exist', 'employ', 'hollywood', 'kid', 'peopl', 'owe', 'favor', 'famou', 'parent']",0
168,"['well', 'made', 'emot', 'scatter', 'film', 'whose', 'hero', 'give', 'hi', 'heart', 'onli', 'dog']",2
169,"['love', 'cinema', 'paradiso', 'find', 'new', 'scene', 'interest', 'find', 'movi', 'improv']",2
170,"['campanella', 'get', 'tone', 'right', 'funni', 'middl', 'sad', 'middl', 'hope']",3
171,"['noth', 'amiabl', 'unfocus', 'bagatel', 'play', 'like', 'loos', 'connect', 'string', 'act', 'workshop', 'exercis']",0
172,"['sharp', 'movi', 'otherwis', 'dull', 'subject']",3
173,"['wallac', 'get', 'bit', 'heavi', 'hand', 'hi', 'messag', 'time', 'ha', 'visual', 'flair', 'wax', 'poetic', 'far', 'much', 'tast']",2
174,"['charm', 'funni', 'lrb', 'ultim', 'silli', 'rrb', 'movi']",2
175,"['one', 'thing', 'thi', 'wild', 'film', 'ha', 'imax', 'film', 'n', 'chimp', 'lot', 'chimp', 'blown', 'size', 'hous']",2
176,"['start', 'mediocr', 'spiral', 'downward', 'thud', 'bottom', 'pool', 'utterli', 'incompet', 'conclus']",0
177,"['thi', 'child', 'film', 'truest', 'sens']",3
178,"['horrend', 'amateurish', 'filmmak', 'plainli', 'dull', 'visual', 'ugli', 'n', 'incomprehens']",0
179,"['beauti', 'craft', 'engag', 'filmmak', 'attract', 'upscal', 'audienc', 'hungri', 'qualiti', 'nostalg', 'twisti', 'yarn', 'keep', 'guess']",4
180,"['awkwardli', 'contriv', 'exercis', 'magic', 'realism']",1
181,"['punch', 'line', 'miss', 'unfortun', 'outnumb', 'hit', 'three', 'one']",1
182,"['like', 'smoke', 'signal', 'film', 'also', 'imbu', 'strong', 'theme', 'famili', 'tie', 'spiritu', 'power', 'move', 'without', 'stoop', 'base', 'melodrama']",3
183,"['evok', 'style', 'flash', 'doubl', 'cross', 'made', 'mamet', 'hous', 'game', 'last', 'fall', 'heist', 'much', 'fun']",3
184,"['film', 'aim', 'funni', 'uplift', 'move', 'sometim', 'onc']",3
185,"['brief', '42', 'minut', 'need', 'x', 'le', 'blab']",2
186,"['spald', 'gray', 'equival', 'teen', 'gross', 'comedi']",2
187,"['great', 'deal', 'corni', 'dialogu', 'preposter', 'moment']",1
188,"['uneven', 'lot', 'fun']",3
189,"['result', 'might', 'look', 'like', 'vulgar']",2
190,"['film', 'rehash', 'sever', 'old', 'theme', 'cap', 'pointless', 'extrem', 'insan', 'violent', 'veri', 'graphic']",0
191,"['dragon', 'real', 'star', 'reign', 'fire', 'wo', 'n', 'disappoint']",3
192,"['never', 'play', 'dramat', 'even', 'dramat', 'thing', 'happen', 'peopl']",1
193,"['manag', 'pleas', 'intend', 'audienc', 'child', 'without', 'place', 'parent', 'coma', 'like', 'state']",3
194,"['movi', 'gener', 'plot', 'point', 'degre', 'random', 'usual', 'achiev', 'onli', 'lotteri', 'draw']",1
195,"['though', 'film', 'never', 'veer', 'comic', 'cours', 'unintent', 'parallel', 'might', 'inadvert', 'evok', 'memori', 'emot', 'anyth', 'humor']",2
196,"['film', 'depress', 'life']",1
197,"['saw', 'tv', 'probabl', 'turn', 'convinc', 'alreadi', 'seen', 'movi']",1
198,"['get', 'impress', 'writer', 'director', 'burr', 'steer', 'know', 'territori', 'hi', 'sens', 'humor', 'ha', 'yet', 'lose', 'smug', 'self', 'satisfact', 'usual', 'associ', 'better', 'privat', 'school']",1
199,"['thi', 'superior', 'horror', 'flick']",4
200,"['movi', 'heavi', 'hand', 'screenplay', 'navig', 'fast', 'fade', 'pompos', 'pretenti']",2
201,"['littl', 'weak', 'n', 'funni']",1
202,"['n', 'fit', 'well', 'togeth', 'neither', 'well', 'told']",1
203,"['latent', 'gay', 'like', 'read', 'hardli', 'enough']",2
204,"['sophist', 'liter', 'pictur', 'usual', 'amus', 'littl', 'catch']",3
205,"['storytel', 'feel', 'slight']",1
206,"['mont', 'cristo', 'smartli', 'emphas', 'well', 'wrought', 'stori', 'omit', 'needl', 'chase', 'scene', 'swordfight', 'reveng', 'unfold']",4
207,"['fairi', 'tale', 'come', 'renown', 'indian', 'film', 'cultur', 'allow', 'american', 'final', 'revel', 'splendor']",4
208,"['well', 'done', 'supernatur', 'thriller', 'keen', 'insight', 'parapsycholog', 'phenomenon', 'soul', 'nuanc', 'griev', 'process']",3
209,"['onli', 'bond', 'save', 'u', 'latest', 'eccentr', 'super', 'wealthi', 'megalomaniac', 'bent', 'world', 'domin', 'destruct']",2
210,"['depress', 'ruthlessli', 'pain', 'deprav', 'movi', 'equival', 'stare', 'open', 'wound']",0
211,"['damon', 'bring', 'proper', 'convict', 'hi', 'role', 'lrb', 'jason', 'bourn', 'rrb']",3
212,"['parent', 'bewar', 'thi', 'downright', 'movi', 'penanc']",1
213,"['thi', 'rich', 'lusciou', 'care']",3
214,"['singularli', 'put', 'romant', 'comedi']",1
215,"['director', 'bori', 'von', 'sychowski', 'instead', 'opt', 'routin', 'slasher', 'film', 'wa', 'probabl', 'fun', 'make', 'sit']",2
216,"['would', 'nice', 'screenwrit', 'trust', 'audienc', 'understand', 'complex', 'stori', 'left', 'film', 'predict', 'denouement']",0
217,"['superflu', 'sequel', 'plagu', 'old', 'familiar', 'feel', 'let', 'get', 'thi', 'thing', 'everyon', 'ha', 'shown', 'appoint', 'time', 'place', 'visibl', 'enthusiasm', 'mighti', 'hard', 'find']",1
218,"['earnest', 'roughshod', 'document', 'serf', 'workabl', 'primer', 'region', 'recent', 'histori', 'would', 'make', 'terrif', '10th', 'grade', 'learn', 'tool']",3
219,"['cloak', 'familiar', 'anti', 'feminist', 'equat', 'lrb', 'career', 'kid', 'miseri', 'rrb', 'tiresom', 'romant', 'comedi', 'dud']",1
220,"['film', 'play', 'thing', 'nice', 'n', 'safe', 'often', 'play', 'like', 'milquetoast', 'movi', 'week', 'blown', 'big', 'screen']",1
221,"['hi', 'work', 'transcend', 'boy', 'meet', 'girl', 'postur', 'typic', 'love', 'stori']",3
222,"['even', 'predict', 'clich', 'ridden', 'endeavor', 'predecessor']",1
223,"['play', 'like', 'bad', 'blend', 'overrip', 'episod', 'tv', 'dawson', 'creek', 'recycl', 'dumb', 'version', 'love', 'stori']",0
224,"['script', 'cover', 'huge', 'heavi', 'topic', 'bland', 'surfacey', 'way', 'doe', 'n', 'offer', 'ani', 'insight', 'whi', 'instanc', 'good', 'thing', 'happen', 'bad', 'peopl']",1
225,"['film', 'bad', 'doe', 'n', 'improv', 'upon', 'experi', 'stare', 'blank', 'screen']",0
226,"['threw', 'load', 'money', 'idea', 'much', 'even', 'wa', 'onli', 'made', 'teenag', 'boy', 'wrestl', 'fan']",1
227,"['difficult', 'imagin', 'confus', 'le', 'interest', 'sloppili', 'made', 'film', 'could', 'possibl', 'come', 'road', '2002']",0
228,"['though', 'film', 'well', 'intent', 'one', 'could', 'rent', 'origin', 'get', 'love', 'stori', 'parabl']",3
229,"['jolt', 'charleston', 'rhythm', 'stori', 'ha', 'sizzl', 'old', 'news', 'ha', 'final', 'found', 'right', 'vent', 'lrb', 'accur']",2
230,[],2
231,"['william', 'play', 'sy', 'anoth', 'hi', 'open', 'face', 'smile', 'madman', 'like', 'killer', 'insomnia']",2
232,"['phone', 'busi', 'usual']",1
233,"['lackadais', 'plot', 'mindless', 'action', 'benjamin', 'evok', 'bottom', 'tier', 'blaxploit', 'flick', '1970']",1
234,"['ah', 'ye', 'would', 'fight', 'urg', 'doze']",0
235,"['thoughtless', 'random', 'superfici', 'humour', 'lot', 'veri', 'bad', 'scous', 'accent']",0
236,"['era', 'big', 'star', 'high', 'product', 'valu', 'standard', 'procedur', 'narc', 'strike', 'defiantli', 'retro', 'chord', 'outpac', 'contemporari', 'dare', 'verv']",3
237,"['rip', 'roar', 'comedi', 'action', 'fest', 'put', 'hair', 'chest']",3
238,"['thought', 'heart', 'well', 'mind']",4
